Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,148,0,0,91,110.9467,3.116668,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.02379766,0,0.6186973,0,1724.42,147.4275,0.1074169,0,90.84113,110.9467,3.141493,344.13321764789,344.133217647263,0.000656779975494621,30.4166800000566,30.41668,0.00005870253,89.9999,89.9999,1.362423,0.000002658646
0.2,S,0.2,0.0544659,0,0.5382426,0,1751.155,146.6538,0.489426,0,90.68224,110.9467,3.166317,351.900144733656,351.900144733018,0.000670335821412167,65.25678000012,65.25678,0.0001251255,89.9999,89.9999,6.139686,0.00001183886
0.3,S,0.3,0.08582333,0,0.501129,0,1777.865,145.868,1.131099,0,90.52337,110.9467,3.191142,359.718932155799,359.718932155149,0.000683982176437578,100.876400000184,100.8764,0.0001929089,89.9999,89.9999,14.43989,0.00002772931
0.3999999,S,0.3999999,0.1178755,0,0.4874832,0,1804.54,145.0703,2.074789,0,90.36449,110.9467,3.215967,367.580637798669,367.580637798007,0.000697703439279199,137.28040000025,137.2804,0.0002620614,89.9999,89.9999,26.34124,0.00005046651
0.4999998,S,0.4999998,0.1506268,0,0.4869998,0,1831.175,144.2606,3.382763,0,90.20561,110.9467,3.240791,375.46276693416,375.462766933354,0.000777877496557676,174.472027585729,174.472027585411,0.000333252874791708,89.99989,89.99989,41.94113,0.00008019097
0.5999997,S,0.5999997,0.1840807,0,0.4865099,0,1857.764,143.439,5.043811,0,90.04674,110.9467,3.265616,383.385066814241,383.385066813393,0.000806473450653864,212.453767226047,212.453767225646,0.000412628667912272,89.99989,89.99989,61.47079,0.0001174615
0.6999996,S,0.6999996,0.218242,0,0.4860141,0,1884.296,142.6055,7.076698,0,89.88786,110.9467,3.29044,391.336978282507,391.336978281619,0.000833517700646429,251.229392971589,251.229392971102,0.000494774073094896,89.99989,89.99989,84.84227,0.0001628094
0.7999995,S,0.7999995,0.2531148,0,0.4856414,0,1910.766,141.7601,9.502788,0,89.72898,110.9467,3.315265,399.315056190411,399.315056189486,0.000859455231986405,290.80171311506,290.801713114483,0.000579560254048616,89.99989,89.99989,112.1351,0.0002165048
0.8999994,S,0.8999994,0.2887026,0,0.4866093,0,1937.167,140.9029,12.3742,0,89.57011,110.9467,3.340089,407.307975655194,407.307975654234,0.000884552268937195,331.172687814811,331.17268781414,0.000666892106428288,89.99989,89.99989,143.4291,0.0002788068
0.9999993,S,0.9999993,0.3250084,0,0.4875972,0,1963.49,140.034,15.69491,0,89.41123,110.9467,3.364914,415.314556504865,415.31455650387,0.000909001760804095,372.343745754439,372.34374575367,0.00075669678895483,89.99989,89.99989,178.8042,0.000349966
1.099999,S,1.099999,0.3620351,0,0.4886052,0,1989.729,139.1534,19.48847,0,89.25235,110.9467,3.389738,423.330689992483,423.330689991455,0.000932932961945359,414.316045091928,414.316045091058,0.000848917056364308,89.99988,89.99988,218.3404,0.000430227
1.199999,S,1.199999,0.3997853,0,0.4896335,0,2015.877,138.2611,23.77873,0,89.09348,110.9467,3.414563,431.351051436331,431.351051435271,0.000956436079079176,457.090218272294,457.09021827132,0.000943506249759531,89.99988,89.99988,262.118,0.0005198288
1.299999,S,1.299999,0.4382611,0,0.4906821,0,2041.925,137.3572,28.58969,0,88.9346,110.9467,3.439388,439.369545267934,439.369545266842,0.000979574746519601,500.666371391808,500.666371390727,0.00104042526389997,89.99988,89.99988,310.217,0.0006190062
1.399999,S,1.399999,0.4774644,0,0.4917513,0,2067.868,136.4417,33.94559,0,88.77572,110.9467,3.464212,447.381458746605,447.381458745482,0.00100239700074621,545.04407633017,545.044076328979,0.00113964044687534,89.99988,89.99988,362.7179,0.0007279906
1.499999,S,1.499999,0.5173967,0,0.4928406,0,2093.699,135.5148,39.87063,0,88.61684,110.9467,3.489037,455.380847302307,455.380847301154,0.0010249361898988,590.222311304827,590.222311303522,0.00124112200318445,89.99988,89.99988,419.7005,0.0008470102
1.599999,S,1.599999,0.5580589,0,0.4939505,0,2119.406,134.5765,46.3891,0,88.45797,110.9467,3.513861,463.360852427095,463.360852425912,0.00104721417216721,636.199470328229,636.199470326808,0.00134484295615335,89.99988,89.99988,481.2448,0.0009762901
1.699999,S,1.699999,0.5994521,0,0.4940107,0,2144.988,133.6268,53.40957,0,88.29909,110.9467,3.538686,471.344290779499,471.344290778286,0.00106930833039404,682.97413035935,682.974130357809,0.00145077993040399,89.99988,89.99988,547.4307,0.001116053
1.799999,S,1.799999,0.6415775,0,0.4958404,0,2170.437,132.6659,61.25505,0,88.14021,110.9467,3.56351,479.252627277806,479.252627276564,0.00109107631349703,730.543847448807,730.543847447144,0.00155891001243003,89.99988,89.99988,618.3379,0.00126652
1.899999,S,1.899999,0.6844316,0,0.497706,0,2195.74,131.6938,69.78913,0,87.98134,110.9467,3.588335,487.116252344246,487.116252342975,0.00111260132508501,778.901985851236,778.901985849448,0.00166920347570028,89.99988,89.99988,694.0455,0.001427908
